Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,year,month,week_of_year,sales_lag_1,sales_lag_4,sales_lag_52,sales_rolling_mean_4
2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,False,2010,2,5,1643690.9,1643690.9,1643690.9,1576836.025
2010-02-12,1641957.44,38.51,2.548,211.2421698,8.106,True,2010,2,6,1643690.9,1643690.9,1643690.9,1576836.025
2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106,False,2010,2,7,1641957.44,1643690.9,1643690.9,1576836.025
2010-02-26,1409727.59,46.63,2.561,211.3196429,8.106,False,2010,2,8,1611968.17,1643690.9,1643690.9,1576836.025
2010-03-05,1554806.68,46.5,2.625,211.3501429,8.106,False,2010,3,9,1409727.59,1643690.9,1643690.9,1576836.025
2010-03-12,1439541.59,57.79,2.667,211.3806429,8.106,False,2010,3,10,1554806.68,1641957.44,1643690.9,1554614.9699999997
2010-03-19,1472515.79,54.58,2.72,211.215635,8.106,False,2010,3,11,1439541.59,1611968.17,1643690.9,1504011.0075
2010-03-26,1404429.92,51.45,2.732,211.0180424,8.106,False,2010,3,12,1472515.79,1409727.59,1643690.9,1469147.9125
2010-04-02,1594968.28,62.27000000000001,2.719,210.8204499,7.807999999999999,False,2010,4,13,1404429.92,1554806.68,1643690.9,1467823.495
2010-04-09,1545418.53,65.86,2.77,210.6228574,7.808000000000001,False,2010,4,14,1594968.28,1439541.59,1643690.9,1477863.895
2010-04-16,1466058.28,66.32,2.808,210.4887,7.808000000000001,False,2010,4,15,1545418.53,1472515.79,1643690.9,1504333.13
2010-04-23,1391256.12,64.84,2.795,210.4391228,7.807999999999999,False,2010,4,16,1466058.28,1404429.92,1643690.9,1502718.7525
2010-04-30,1425100.71,67.41,2.78,210.3895456,7.807999999999999,False,2010,4,17,1391256.12,1594968.28,1643690.9,1499425.3025
2010-05-07,1603955.1199999999,72.55,2.835,210.3399684,7.807999999999999,False,2010,5,18,1425100.71,1545418.53,1643690.9,1456958.41
2010-05-14,1494251.5,74.78,2.854,210.3374261,7.807999999999999,False,2010,5,19,1603955.1199999999,1466058.28,1643690.9,1471592.5575
2010-05-21,1399662.07,76.44,2.826,210.6170934,7.807999999999999,False,2010,5,20,1494251.5,1391256.12,1643690.9,1478640.8625
2010-05-28,1432069.95,80.44,2.759,210.8967606,7.807999999999999,False,2010,5,21,1399662.07,1425100.71,1643690.9,1480742.35
2010-06-04,1615524.71,80.69,2.705,211.1764278,7.807999999999999,False,2010,6,22,1432069.95,1603955.1199999999,1643690.9,1482484.66
2010-06-11,1542561.09,80.43,2.668,211.4560951,7.807999999999999,False,2010,6,23,1615524.71,1494251.5,1643690.9,1485377.0574999999
2010-06-18,1503284.06,84.11,2.637,211.4537719,7.807999999999999,False,2010,6,24,1542561.09,1399662.07,1643690.9,1497454.455
2010-06-25,1422711.6,84.34,2.653,211.3386526,7.807999999999999,False,2010,6,25,1503284.06,1432069.95,1643690.9,1523359.9525
2010-07-02,1492418.1400000001,80.91,2.669,211.2235333,7.787,False,2010,7,26,1422711.6,1615524.71,1643690.9,1521020.3650000002
2010-07-09,1546074.18,80.48,2.642,211.108414,7.786999999999999,False,2010,7,27,1492418.1400000001,1542561.09,1643690.9,1490243.7225000001
2010-07-16,1448938.92,83.15,2.623,211.1003854,7.787000000000001,False,2010,7,28,1546074.18,1503284.06,1643690.9,1491121.995
2010-07-23,1385065.2,83.36,2.608,211.2351443,7.787,False,2010,7,29,1448938.92,1422711.6,1643690.9,1477535.71
2010-07-30,1371986.6,81.84,2.64,211.3699032,7.787,False,2010,7,30,1385065.2,1492418.1400000001,1643690.9,1468124.11
2010-08-06,1605491.78,87.16,2.627,211.5046621,7.787000000000001,False,2010,8,31,1371986.6,1546074.18,1643690.9,1438016.225
2010-08-13,1508237.76,87.0,2.692,211.6394211,7.786999999999999,False,2010,8,32,1605491.78,1448938.92,1643690.9,1452870.625
2010-08-20,1513080.49,86.65,2.664,211.6033633,7.787,False,2010,8,33,1508237.76,1385065.2,1643690.9,1467695.335
2010-08-27,1449142.92,85.22,2.619,211.5673056,7.787000000000001,False,2010,8,34,1513080.49,1371986.6,1643690.9,1499699.1575
